,source,date,name,rating,description
0,2gis,16-06-2025,Геворк Антонян,0,"Оформлял полис ОСАГО, все прошло успешно. Быстро оформили, цена порадовала. Советую всем."
1,2gis,16-06-2025,Геворк Антонян,0,"Оформлял полис ОСАГО, все прошло успешно. Быстро оформили, цена порадовала. Советую всем."
2,2gis,09-06-2025,Евгения Кохтанова,0,"Мы юридическое лицо, работаем с ППР уже много лет, начали сначала только по топливу, потом постепенно добавили другие функции: мониторинг штрафов, парковки, мойка, продлеваем полисы ОСАГО, все очень удобно, работаешь по многим направлениям с одной организацией и счет один. Особенно хочу отметить оперативность с которой решаются вопросы. Спасибо за плодотворное сотрудничество, продолжаем работать дальше!"
3,2gis,06-06-2025,Алексей Шубин,0,"Спасибо Вам, реально облегчели работу с автопарком и учет по топливу легко везти и немаловажный аспект цены на топливо стали дешевле👍"
4,2gis,06-06-2025,Ирина Ковалёва,0,"Приятно сотрудничать , все вопросы решают быстро, документы вовремя. Работаем вместе уже пол года , используем карты и транспондер . Устраивает все!"
5,2gis,06-06-2025,Слава Загуменнов,0,"Много лет работаю, сервисов все больше, страховка лизинг итд. Рекомендую знакомым. Удобное приложение в телефоне. Как и со сотрудникам так и мне как директору."
6,2gis,03-06-2025,Ксения Валавина,0,"Всегда очень внимательные сотрудники, стараются помочь."
7,2gis,31-05-2025,Владимир Гейдт,0,"Все нравится, поддержа хорошая"
8,2gis,15-05-2025,Тимур Бикмурзин,0,"Не рекомендую, могут сказать, что не дозвонились и по этой причине не привезти колёса, а в твоей детализации нет входящих, но на склад предлагают ехать тебе."
9,2gis,31-01-2025,Александр Федяев,0,"Ужасно агресивные способы, постоянные звонки с предложением каких-то услуг"
10,2gis,28-01-2025,Альбина Ахмерова,0,"Работали с ППР не один год, но очень сильно были разочарованы в обслуживании персоналом колл центра и курирующего менеджера. Совсем не клиентоориентированная организация. Каждый сотрудник обещает разобраться в возникшей ситуации, но результата ноль. Постоянные звонки и общение к положительным результатам на привело. Уже пару лет работаем с другими операторами. Проще договориться с искусственным интеллектом, чем с сотрудниками ППР."
11,2gis,24-12-2024,Татьяна Новикова,0,"Добрый день!
По совету знакомых, обратились в ППР по вопросу приобретения топливных карт на предприятие.
По факту обращения мне был выделен персональный менеджер, очень компетентный и внимательный сотрудник - Екатерина Андрейченко.
Мне всё рассказали, всё объяснили и помогли решить возникшие вопросы.
Очень хорошо, когда в компании есть такие специалисты, с которыми очень комфортно работать!
В настоящее время к работе компании нареканий нет, а Екатерине огромное спасибо лично!"
12,2gis,07-11-2024,Tatyana Benko,0,"Очень неповоротливая компания. Если у вас какая то возникла проблема, то недозвониться, недописаться туда НЕВОЗМОЖНО. БЕЗОБРАЗНОЕ отношение к клиентам. А цены в процессе работы НЕ СООТВЕТСТВУЮТ тем что были заявлены на стадии заелючения договора. Наша компания меняла эцп на фирме и оплатила с другой компании на карты. Так нас просто продинамили ДВА дня в обработке платежа. У нас дикие простои спецтехники и убытки. Но ЭТО КОМПАНИИ ВСЕ РАВНО ЧТО у вас проблемы. Нам просто робот отвечает и робот отписывпнт что их ВЕЛИЧЕСТВО ОПЕРПТОРЫ ЗАНЯТЫ и ждите своей очереди. БУДЕМ ТОЖЕ УХОДИТЬ ОТ НИХ"
13,2gis,17-10-2024,Andrey Bykov,0,"Обходите эту компанию стороной, внимательно читайте условия договора и смотрите на цены за топливо за которое Вы платите, Вас завлекаются скидками на топливо (от рубля от столба), по факту вы за топливо будете переплачивать 2-3 рубля, либо платить процент от заправки в виде обслуживания. Работали 5 лет, но оказывается последние полгода нам по тихой сменили условия. Отказались от обслуживания и перешли работать по картам напрямую с производителями и оператором, что заправлЯет через приложение Заправки."
14,2gis,15-02-2024,Алексей Науменко,0,"ППР - компания которая на протяжении продолжительного времени не перестает удивлять своим профессионализмом ответственностью и оперативностью сотрудников, и главное - большим объёмом сервисных возможностей, что в корне отличает её от других. Каждый запрос решался быстро и качественно, а результат порой превосходит все ожидания. А большое разнообразие дополнительных сервисов экономит время и деньги. Эта компания стала для меня надежным партнером."
15,2gis,13-02-2024,Иван Иванов,0,"Работаем с компанией уже 3 года. В сотрудничестве все устраивает, широкая сеть заправок, всегда есть альтернатива АЗС. Пользуемся мобильным приложение, водители довольны, можно заправляться без карты. Пользуемся мойками тоже большая сеть, подключили услугу штрафы ( поступают все штрафы и есть возможности оплаты через ППР) Рекомендую 100 процентов."
16,2gis,13-02-2024,Anastasiya S,0,"С ППР работаем не один год, все устраивает. Сотрудники быстро реагируют, если возникают какие-то вопросы. Начали использовать мониторинг штрафов прямо в личном кабинете - отличный сервис! Спасибо нашему менеджеру Ольге за помощь в настройках."
17,2gis,17-01-2024,Александр Савченко,0,Прежде чем заключать договор подумайте!!!! это касается тех кто работает с НДС. проблемы с Документами начнутся целую неделю жду пока исправят УПД это просто ужас работать не хотят.
18,2gis,04-08-2022,Яков Синицин,0,"нужно расторгнуть договор с данной организацией, перед отправкой заявки на расторжении мне сообщили , что срок расторжения договора 1 рабочий день, заявка направлена 28.07.2022 в 08:36, а на сегодня 04.09.2022 сообщают, что соглашение о расторжении будет подготовлено и направлено 14.09.2022 , если кто-то то планирует принимать решение о работе данной организации рекомендую прочитать их порядок расторжения договора и возврата предоплаты."
19,2gis,13-12-2021,olgasergeevnanikolaeva,0,"Пользуемся картами недавно, второй месяц сотрудничаем. В целом мы очень довольны. Ранее работали с другой компанией, в сравнении, качество обслуживания в ППР значительно лучше - личный кабинет и мобильное приложение максимально удобны, платежи поступают в течение часа, на наши вопросы реагируют быстро.
Столкнулись с тем, что на АСЗ с нашей карты списали лишние литры, мы обратились к нашему персональному менеджеру и уже на следующий день нам вернули наши деньги обратно. Это восторг!"
20,2gis,13-12-2021,Компания «Луч»,0,"Отличная компания и отличный сервис! Из плюсов - платежи поступают быстро, Личный кабинет удобен для руководителя, а Мобильное приложение для водителей. Всегда видят остаток лимита на своей карте и доступные заправки по маршруту. Ещё один плюс - отсрочка бесплатная. Из минусов для нас - наличие сервисного сбора, но всё-таки за сервис нужно платить, поэтому принимаем это адекватно. Особенная благодарность за работу нашему менеджеру Олесе Третьяковой. С уважением, компания «Луч»"
21,2gis,09-12-2021,istokbeslan,0,"Самая надежная компания. Мы в восторге. Отлаженная работа, все очень четко. Принимают на всех заправках по всей стране. Перешли с другой компании примерно полгода назад. Одно удовольствие. Огромное спасибо руководителю этой организации за такую слаженность и атмосферу. Отдельное спасибо Акуловой Светлане, нашему менеджеру, очень внимательному и замечательному.

С уважением,
Инга - помощник руководителя АО ""ИСТОК"", г. Беслан, Северная Осетия-Алания Республика."
22,2gis,30-11-2021,Дмитрий Иванов,0,"Работаем с вами по нескольким компаниям. Всё вовремя, и отчётность, и поступление средств на счёт. Всё больше и больше новых услуг, которые помогают нам в работе. Карты полностью устраивают."
23,2gis,30-11-2021,Альбина Праздникова,0,Широкий выбор услуг помогает в работе! Рады сотрудничеству с Вами и очень довольны работой персонального менеджера.
24,2gis,29-11-2021,dk_matveeva,0,"Благодарю за сотрудничество, ДОВЕРИЕ и помощь в работе. Отдельное спасибо нашему менеджеру Ибрагимовой Елене за отзывчивость,вежливость оперативное решение любых возникающих вопросов."
25,2gis,29-11-2021,zalinatez66,0,"Работаем с компанией более года, сервис на высшем уровне! Большой выбор АЗС, удобное мобильное приложение, обслуживание 24/7. персональный менеджер Аза всегда на связи, беспроцентный кредит, быстрое зачисление даже на выходных. Выражаю свою благодарность сотрудникам ППР. С компанией приятно работать! Рекомендую!"
26,2gis,29-11-2021,dorozhnikoren56,0,"Современная компания, большой список заправок, сотрудничеством пока довольны.
Выбрали ее из-за быстрого поступления денег на карты, и бесплатного кредита. Спасибо"
27,2gis,29-11-2021,nastyaborodulya250794,0,"Все что нужно для контроля расходов на транспорт вы найдете у компании ППР: Личный кабинет с полным управлением картами и услугами, все в онлайн, самая широкая сеть, отчеты любой конфигурации, персональный менеджер. Рекомендую"
