,source,date,name,rating,description
0,flamp,27-11-2021,Елена Евтихова,5,"Хорошо, что можно заправиться по их картам практически на любой АЗС.Предоставляют беспроцентную отсрочку, что очень выручает.Очень компетентные сотрудники, которые всегда готовы помочь .Работать с ними одно удовольствие!"
1,flamp,26-11-2021,efremov01031958,5,Работаем с данной компанией 1 год и только положительные впечатления. Количество АЗС Огромное. Менеджеры компании профессионалы своего дела. Вообщем нас устраивает все!
2,flamp,25-11-2021,o.r.tretyakova,5,"Отличная компания! Нам нравится с ними работать (сотрудничаем больше четырёх лет). Из плюсов - заправиться по картам можно почти везде, документами обмениваемся в ЭДО, отсрочку предоставляют бесплатную на месяц, для водителей всегда работает горячая линия, а с более сложными вопросами в любое время помогает наш персональный консультант. Рекомендую!"
3,flamp,27-11-2021,nastyaborodulya250794,5,"Все что нужно для контроля расходов на транспорт вы найдете у компании ППР: Личный кабинет с полным управлением картами и услугами, все в онлайн, самая широкая сеть, отчеты любой конфигурации, персональный менеджер. Рекомендую"
4,flamp,25-11-2021,o.r.tretyakova,5,"Отличная компания! Нам нравится с ними работать (сотрудничаем больше четырёх лет). Из плюсов - заправиться по картам можно почти везде, документами обмениваемся в ЭДО, отсрочку предоставляют бесплатную на месяц, для водителей всегда работает горячая линия, а с более сложными вопросами в любое время помогает наш персональный консультант. Рекомендую!"
5,flamp,25-11-2021,Elena Novikova,5,"Сеть азс самая широкая, очень удобный личный кабинет и приложение. ППР не стоит на месте. Много услуг и отличный сервис. Спасибо."
6,flamp,30-11-2021,Альбина Праздникова,5,Широкий выбор услуг помогает в работе! Рады сотрудничеству с Вами и очень довольны работой персонального менеджера.
7,flamp,26-11-2021,efremov01031958,5,С данной компанией сотрудничаем 1 год и только положительные впечатления. Менеджеры всегда на связи и готовы всегда помочь. Количество АЗС партнеров ОГРОМНОЕ. Система овердрафт тоже радует. Вообщем надеемся на долгосрочное сотрудничество!
8,flamp,20-02-2021,Inga Volobueva,5,"Я, как бухгалтер на фирме, прям очень благодарна ППР за их работу. Начальник там что-то про личный кабинет нахваливает обычно, но мне главное, что в конце месяца высылают документооборот в электронном виде"
9,flamp,26-03-2019,vikt0rovich1,5,"А я доволен ППРом, с ценой сейчас везде сложности, но эти хоть решают любую проблему. Документы никак не мог получить, на их почту для обратной связи пожаловался, сразу с вопросом разобрлись, оказывается это я сам ошибся, а пенял на них. Да и вообще вопросы решают быстро стоит только сказать л проблеме, компания все таки клиентоориентированная"
10,flamp,20-02-2021,Inga Volobueva,5,"Я, как бухгалтер на фирме, прям очень благодарна ППР за их работу. Начальник там что-то про личный кабинет нахваливает обычно, но мне главное, что в конце месяца высылают документооборот в электронном виде"
11,flamp,14-07-2020,Екатерина Черская,1,"очень несмышлённая компания. Навязчивые , недалёкие . Я без преувеличения 10 раз просила мне не звонить. Сотрудничать с таким бизнесом нет желания ."
12,flamp,27-10-2021,zhavoronkova_oks,5,"Работаем с ППР с 2017года, и нам очень комфортно! Личный кабинет, мобильное приложение, широкая сеть АЗС —​ вот некоторые, но далеко не все достоинства компании! Помимо выгодных условий нам предложили и отсрочку платежа, что очень удобно. Отдельное спасибо нашему менеджеру Олесе, она на связи всегда, даже в нерабочее время. ​"
13,flamp,13-03-2015,anna4love2u,4,"Остались смешанные впечатления… До операторов тяжело дозвониться и из личного кабинета не спеша отвечают, но отвечают. Полезные графики в лк реально помогают работе, но есть проблемы с корректным отображением баланса."
14,flamp,21-10-2021,Ekaterina Vorobyeva,5,"ППР- это  стабильная фирма с которой комфортно сотрудничать! Работаем с ППР уже 4 год, все отлично, без сбоев, решение вопросов оперативное, возможность постоплаты- а то в наше время просто необходимо. Личный кабинет для использования выше всяких похвал. Спасибо за долговременное  сотрудничество С уважением Транспортная компания ""Магистраль"""
15,flamp,26-11-2021,Алина Юнусова,5,"От  Компании «Глимс» выражаю огромную благодарность персональному менеджеру Третьяковой Олесе, которая оперативно решает все наши вопросы и самое главное предлагает удобные варианты обслуживания. Сотрудничаем с компанией ППР несколько лет, всем довольны. Классное Мобильное приложение Обмен документами в ЭДО Приятно, что по картам можно воспользоваться мойкой и шиномонтажом, а также отслеживать штрафы и оплачивать их через Личный кабинет. Деньги на баланс поступают быстро. У них самая широкая сеть АЗС."
16,flamp,30-11-2021,Дмитрий Иванов,5,"Работаем с вами по нескольким компаниям. Всё вовремя, и отчётность, и поступление средств на счёт. Всё больше и больше новых услуг, которые помогают нам в работе. Карты полностью устраивают."
17,flamp,25-11-2021,Василина Шатохина,5,"Работаем с компанией ППР год. За время работы ни раз обращались к персональному менеджеру Юлии, ответы от нее поступают мгновенно, вопросы всегда решаются в пользу клиента. Нравится большая сетка АЗС, быстрое поступление отчётных документов, мгновенная реакция на любые запросы."
18,flamp,25-11-2021,Татьяна М.,5,"Работаю с ППР примерно год. Нравится личный кабинет, удобный. Много заправок. Можно обратиться к своему менеджеру и она всегда нам поможет. Мы очень довольны!"
19,flamp,27-11-2021,Елена Евтихова,5,"Хорошо, что можно заправиться по их картам практически на любой АЗС.Предоставляют беспроцентную отсрочку, что очень выручает.Очень компетентные сотрудники, которые всегда готовы помочь .Работать с ними одно удовольствие!"
20,flamp,26-11-2021,aleks1671,5,"Добрый день! Хочу выразить свои эмоции по работе с ООО ППР. Данная компания, в рамках своих возможностей, предоставляет широчайший спектр очень востребованных услуг на современном процессинговом рынке. По данной теме можно говорить бесконечно…однако в этом письме мне бы хотелось остановиться на работе людей, которые стоят в буквальном смысле на «передовой» в работе ППР. Особые слова благодарности хочу передать менеджеру Ольге Б. культурному, эрудированному и очень грамотному специалисту, очень ПРИЯТНО, как она выполняет свою работу, в ходе которой всегда сделает все возможное, чтобы помочь клиенту решить все проблемы, возникшие при эксплуатации топливных карт. От неё можно получить любую информацию и помощь по широчайшему спектру вопросов Спасибо, что такие спецы работают в вашей компании!!!"
21,flamp,25-11-2021,Евгений,5,"ППР-одним словом все четко и быстро. Рекомендую к сотрудничеству. Работаем с компанией около 3 лет. Удобный личный кабинет, отслеживаем еще штрафы, есть личный менеджер Мария. да и все сотрудники в ППР очень адекватные. Евгений."
22,flamp,28-11-2021,natalyatroyanova151,5,"Работаем больше года, зачисление денег на баланс быстрое, есть возможность подключить овердрафт, сети АЗС достаточно, управление картами в режиме онлайн, так же можно пользоваться мойками и парковками. Ждем запуска оплаты платных дорог. Спасибо, что развиваетесь."
23,flamp,13-01-2015,user578873,1,"Отвратительная компания, не возможно следить за расходом средств в реальном времени. В личном кабинете информация поступает с задержкой чуть ли не на 3-5 дней. смс уведомления работают через раз. А теперь конкретно в цифрах. к примеру у нас судя по данным из кабинета баланс 2000 руб и я решил закинуть ещё 10000. так вот на следующий день по логике баланс должен составить 12000 руб но нет, он становится то 8000 то еще сколько то там не помню.  Оператор объясняет это тем что задержка в получении данных. перед новым годом нас вообще заблокировали при положительном балансе. Опять начинают навязывать свои условия, якобы делали рассылку и предупреждали чтоб деньги ложили в двух кратном размере. А мне это надо ? есть деньги заправьте. Нет денег не заправляйте. Все просто. Я не был в минусе у меня были деньги и меня заблокировали !!! В общем решайте сами работать или нет. Да и вот ещё заправка происходит к примеру 1-го числа а в отчете мне пишут что заправился 2-го или 3-го Соответственно я к водителю требовать с него чеки за эти даты, а он мне клянется что не заправлялся. Разногласия, подозрения, скандалы !!!! Вот вам и Петрол Плюс Регион !!! Кстати первый отзыв явно заказной про удивительную историю )) смс нам приходило 1 раз из 80 заправленных раз. И правда удивительная история ))"
24,flamp,26-11-2021,azarinanadezda,5,"Своевременная отчетность, нужные услуги, удобный лк и помощь менеджера Помощь в работе менеджера, все вопросы решают быстро. Огромная сеть АЗС и удобный лк. Довольны."
25,flamp,11-12-2020,Виктор Поляков,5,"Работаем вместе уже несколько лет, не всё идеально было конечно, но компания стремится хотя бы улучшать сервисы. Один личный кабинет чего стоит - всё можно решить онлайн (открыть/закрыть доступ, увидеть транзакции, получить скидку, оплатить штраф). Я был в восторге от него - лично мне он упростил жизнь. Ну и бухгалтерская отчетность, которую мы получаем, тоже отличная вещь."
26,flamp,24-11-2021,Валерия,5,"Спасибо за работу. Нам с Вами легко и удобно. Также хочу отметить менеджера Анну, все вопросы решаются быстро."
27,flamp,24-11-2021,okuznetsova1112,5,Сервисом и отношением к клиентам очень довольны. Большой выбор услуг и индивидуальный подход. Есть отсрочка и удобный ЛК. Особая благодарность менеджеру за помощь в любых вопросах.
28,flamp,08-12-2016,kra,1,"В личном кабинете сделали заявку на разблокировку карты №5 (договор №...). в личном кабинете указано - ""в процессе разблокировки"". И такой статус уже более суток. Обратился на горячую линию - сказали, что возможна разблокировка в течение суток - много заявок. Повторно обратился на горячую линию. Замучился ждать по телефону 8800-333-53-30. Никто не взял трубку на протяжении 10 минут. Звонил с 2 телефонов, без толку. Обратился на номер 8-495-280-01-10, только так смог дозвониться - сотрудник сказал, что заявка в статусе ""отклонена"" и необходимо пополнить счет еще на 1 тысячу рублей, на вопрос ""как я могу об этом узнать и почему мне не сообщили"" ответить не смогла. Подобная реакция на вопросы уже не первый раз, подробности можете уточнить у Юлии Ивановой."
29,flamp,19-11-2021,konditerka5,5,"Сотрудничаем с компанией более 3х лет. Хочется отметить удобство обслуживания и общения как на АЗС так и с офисом. Личный кабинет очень информативный, позволяет настроить необходимые функции в удаленном режиме. Менеджеры всегда на связи, готовы помочь в решении возникающих вопросов. Отдельная благодарность нашему менеджеру Азе."
30,flamp,27-11-2021,matrab,5,"Сотрудничеством с компанией очень довольны. Удобный личный кабинет, отчётность всегда под контролем. Широкая сеть АЗС и бесплатная отсрочка платежа. Спасибо менеджеру Олесе за грамотную и подробную консультацию!"
31,flamp,27-03-2015,shavalievrm,1,"отвратительно,категорический не рекомендую компанию, как оказалось позже ,обдираловка ,деньги пропадают на разблокировку и еще какие есть у них услуги платные неизвестно. В начале подписания договора обещали 20 % скидку(возврат НДС-18% +2% ),а потом как выяснилось ничего этого нет , а есть только снятие денег со счета неизвестно за что ,без предупреждения ..."
