,source,date,name,rating,description
0,yandex,12-05-2025,Светлана,5,"Сотрудничаем с ООО «ППР» не так давно. Хотелось бы отметить большой спектр услуг, предоставляемых компанией, заправка топливом на всех АЗС. Удобный, многофункциональный и доступный личный кабинет, что очень важно для работы транспортной компании, отслеживания баланса, до предоставления отчетности!…Ещё"
1,yandex,11-06-2025,Светлана,5,"Отличная компания, наша организация занимается строительством в регионе, очень удобно заправляться работникам в разных местах,  много заправок. Очень удобно работать с функционалом личного кабинета,  удобная своевременная система  уведомлений. У ППР много направлений сотрудничества. Через них страховались…Ещё"
2,yandex,12-12-2024,Tatiyna K.,5,"Сотрудничаем с ООО ППР уже второй год. Хотелось бы отметить больщой спектр услуг, предоставляемых компанией. Удобный, многофункциональный и доступный личный кабинет. Есть возможность пользоваться очень удобной услугой - овердрафт. И конечно же отдельное спасибо нашему менеджеру - Якушевой Юлии! Всегда на связи, вежлива, решает быстро все вопросы! 👍"
3,yandex,13-02-2024,Юлия Логинова,5,"Отличная компания с удобным сервисом, множеством услуг и отчетностью, все просто, доступно, наглядно🔥🔥🔥Очень компетентные , знающие свое дело работники, которые всегда готовы помочь, объяснить, предложить  комфортные условия сотрудничества.Отдельно хочу отметить и поблагодарить🤗🤗🤗…Ещё"
4,yandex,15-11-2024,Юрий Костюк,5,"Скажу так, работаю с данной компанией больше 3-х лет, показали себя как надежный, уверенный, стабильный партнер. Большой спектр услуг представляют, тут тебе топливо на всех АЗС, больше не мониторим штрафы , ввел данные и уверен что там все вовремя оплатилось и все хорошо, парковка, мойка , список там не…Ещё"
5,yandex,05-03-2025,Тим Тим,1,"Если желаете головной боли , вам сюда. Тарифы непонятные ,практически на каждой заправке свой тариф, + обязательно с вас будут списывать за разные услуги, и конечно обязательно каждый месяц вам будут менять тариф на более дорогой. Когда вы начнете ругаться вам скажут что появился супер тариф ,и конечно же это…Ещё"
6,yandex,07-05-2025,Дмитрий С.,1,"Где хоть одно предупреждение о блокировке карт???? Автоматически блокируются, но при этом автоматически не разблокируются???? Деньги поступили на счёт 2 дня назад, оформляете заявку на разблокировку после устного обращения, 21 век…. Блокируете нулевой счёт, что бы что??? Чтобы ни кто не мог воспользоваться…Ещё"
7,yandex,15-11-2024,Борис Федоров,5,"Работая в транспортной сфере, приходится постоянно обслуживаться и заправляться. Уже который год сотрудничаем с компанией ППР, хотя в начале пробовали и с другими компаними также, но остановились на ппр и не пожалели. Удобный личный кабинет и приложение, все понятно и просто. Есть возможность…Ещё"
8,yandex,15-01-2025,Любовь Чулкова,1,"Берут ежемесячную плату за подписку в сумме 2400, не предоставляя не скидок на топливо (оплата 100%) не на мойки, так же оплачивали все сами. По сути плата за перевод денег с одного счета на другой, у нас за такие услуги и с большим обьемом платежок банк берет гораздо меньше. В других топливных никаких дополнительных плат нет. Перед тем как заключить договор подумайте дважды"
9,yandex,06-06-2025,Алексей Лобачев,5,С ООО ППР сотрудничаем почти год. В основном это заправки бензином в Центральном федеральном округе. Все устраивает. Накладок не было. Личный кабинет достаточно информативный и удобный. Рекомендуем. ООО Технологии сервиса.
10,yandex,26-11-2024,Роман Комаров,2,"ППР это симбиоз хорошего приложения и отвратного отношения к клиенту... Тебя заманят скидками на топливо, но потом потихоньку из скидок сделают НАЦЕНКИ ... Причём так умело это делают, в чеках с азс у вас цены со стеллы, а списания С НАЦЕНКАМИ(((. Каждый раз нужно звонить (а дозвониться это прослушивание…Ещё"
11,yandex,15-03-2024,александр д.,4,"Хочу отметить с благодарностью работу сотрудников этой компании, которые с радостью помогающих по любому обращению нас как клиента. Также хочется отметить большое количество полезных и нужных продуктов и сервисов в системе ППР.…Ещё"
