,source,date,name,rating,description
0,yell,17-10-2024,Андрей Быков,1,"Обходите эту компанию стороной, внимательно читайте условия договора и смотрите на цены за топливо за которое Вы платите, Вас завлекаются скидками на топливо (от рубля от столба), по факту вы за топливо будете переплачивать 2-3 рубля, либо платить процент от заправки в виде обслуживания. Работали 5 ...Показать полностью"
1,yell,11-10-2024,Elya3384,5,"Работаем с ППР давно и хочу сказать,  у них очень высокий уровень обслуживания и поддержки.
Не было ещё ни разу такого, что не могли решить сложную ситуацию или вопрос. Причем всегда оперативно. 
Поэтому с удовольствием работаем с этой компанией!.
Отдельно хочу отметить менеджера Елену Фатееву! Всег...Показать полностью"
2,yell,26-09-2024,Лилия Мухамадиева,5,"Давно работаем с ООО ППР. Решение многих вопросов. Работаем с менеджером Юлей, все вопросы решаются в кратчайшие сроки и всегда на связи. Очень удобная функция работа с минусовым остатком, что позволяет быть машинам всегда на ходу. Можно в приложении оплачивать штрафы нон-стоп с 50% скидкой."
3,yell,26-09-2024,nto.gt.vl,5,"Давно и успешно работаем с этой компанией! Очень удобный сервис. За долгие годы работы сменилось несколько персональных менеджеров (Ярослава, Олеся, Юля), но все девушки всегда готовы были помочь в решении каких-либо проблем или задач, воспринимая их как свои личные. Каждый год у компании появляются...Показать полностью"
4,yell,21-03-2024,285628,4,"Отличная компания и компетентные сотрудники, работаем с 2020 года. Простой и удобный личный кабинет, отчетные документы предоставляют своевременно. Отдельно хочу отметить нашего менеджера Олесю всегда ответит и оперативно решит проблему. Из минусов, иногда бывает сбой по вводу новых ТС, а в целом вс...Показать полностью"
5,yell,19-02-2024,Татьяна Татьяна,5,"Ранее работали на прямых договорах с топливными картами, в итоге у одного водителя было по несколько карт, а у бухгалтера разная отчётность, это было так неудобно. А с ППР одна карта и много возможностей: большое количество заправок, одна отчётность, единый счёт. Ещё и командировки сейчас через них ...Показать полностью"
6,yell,15-02-2024,valerishauro,5,"Добрый день! Заключили договор с ППР год назад, и за это время компания зарекомендовала себя как надежного партнера! Предоставляют  не только топливные услуги, а целую систему сервисов для обслуживания автопарка, такие как: ремонт, мойка, покупка шин, страхование и это то, чем мы только успели воспо...Показать полностью"
7,yell,14-02-2024,gnedin77,5,"С ППР работаем много лет, были разные ситуации и с заправками и с ценами, но всегда находили компромиссы, в связи с этим и никогда не меняли их на другого Поставщика.Очень много плюсов работы с ними, это  и многофункциональный личный кабинет, быстрое зачисление денег, большое количество заправок. Та...Показать полностью"
8,yell,18-01-2024,aranta-trans,1,"Та еще контора!!! Завышают стоимость топлива , постоянно нужно проверять . Не советую !!"
9,yell,10-09-2023,rodimkinav,5,"Нам все нравится, никаких проблем и сложностей не возникало"
10,yell,03-09-2023,Артак Казарян,5,"День добрый!
ППР очень рекомендую всем у кого много техники!
Доступно везде!!"
11,yell,01-09-2023,mmilintina5,5,"Добрый вечер!  ППР - топливные карты рекомендую к сотрудничеству!
Выражаю благодарность всему коллективу и нашему ассистенту Марии Болдыревой!"
12,yell,31-08-2023,Ирина Ангел,5,"Топливными картами ППР очень довольны. Сеть приема самая большая. Личный кабинет удобен и многофункционален. Количество доп услуг (Мойки, шиномонтаж  и т.д.) удовлетворяет все наши потребности.  
Отдельная благодарность менеджеру клиентского отдела Ольге Булгаковой за оперативное решение все наших в...Показать полностью"
13,yell,29-08-2023,Daler Rakhimov,5,"Благодарю всю команду ППР и отдельно спасибо  нашему менеджеру Марии Болдыревой. Очень приятно с Вами работать, буду всем советовать!"
14,yell,29-08-2023,Ekaterina Rakhimova,5,Хочу выразить благодарность компании ППР. В частности - нашему менеджеру Марии Болдыревой!
15,yell,29-08-2023,mariy2789,5,"Работаем с ППР уже около 3 лет. Почти все нравится, нареканий нет, на вых предоставляют кредиты-можем уйти в минус-по звонку нашему менеджеру. Насколько знаю, есть еще доп сервисы, но мы пока работает только с топливом!Планируем пользоваться платными дорогами. Отдельное спасибо нашему менеджеру Мари...Показать полностью"
16,yell,27-08-2023,saimon-91,5,Работаем с компанией более 5 лет. Всегда можно рассчитывать на квалифицированную помощь. Много полезных доп. сервисов. Особенно хочется отметить нашего персонального менеджера Наталью Савичеву. быстро поможет в решении любых вопросов. Рекомендуем ППР к сотрудничеству.
17,yell,24-08-2023,Иван Иванов,5,"Работаем с данным поставщиком 2 года. Нареканий нет. Цена   на топливо немного выше, чем у других, но это стоит того. Много сервисов, которые помогают в целом экономить. Рекомендую."
18,yell,15-08-2023,Ангелина Маик,5,"Работаем с ООО ""ППР"" с 2022 года. Партнёр полностью устраивает. Отличный сервис, менеджер Елена Х. всегда на связи, всегда поможет. Финансовые условия хорошие, отсрочка платежа и множество сервиса. Рекомендую."
19,yell,15-08-2023,tumanova_da,5,"В работе главное надежность, а ППР это проверенная компания годами! Всегда идут навстречу. Если нужно поменять тариф, без проблем это сделают. Сейчас выбрали подписку в которой скидки не только на солярку но и на сервисы."
20,yell,15-08-2023,75olgaborodina75,5,Спасибо всей команде ППР и отдельно нашему менеджеру Анечке. Очень приятно с вами работать
21,yell,10-08-2023,Алексей Киселев,5,Работаем с компанией давно. Нареканий к их работе нет. Наш менеджер Савичева Наталья Александровна всегда на связи. Все вопросы решает оперативно. Желаем всех благ Вам и Вашему бизнесу.
22,yell,09-08-2023,gadzhieva.natali,5,"Отличная Компания, быстрые зачисления средств, широкий перечень услуг, удобный личный кабинет. Отзывчивые и оперативные сотрудники, отдельно хотелось бы отметить Савичеву Наталью  - очень компетентный сотрудник, готова всегда оперативно помочь с решением любого вопроса.  Рекомендую к сотрудничеству ...Показать полностью"
23,yell,08-08-2023,pryanik-83,5,"Однозначно рекомендую данную компанию к сотрудничеству! Работаем с ними не первый год, отзывы только положительные. Команда профессионалов, постоянно совершенствующих свои навыки и предлагающих новые идеи для расширения бизнеса. Круглосуточная поддержка клиентов и готовность решения любой проблемы п...Показать полностью"
24,yell,10-07-2023,stasik92,4,"Перезаключили договор на новую компанию , скидки хорошие да и сервис навитая , молодцы ."
25,yell,03-07-2023,ynisplus,5,"С компанией ППР работаю несколько лет, работой  сервиса доволен.
При возникновении необходимости в смене тарифного плана девушки проконсультировали и оформили все документы быстро и качественно. Спасибо!"
26,yell,01-07-2023,damirovih,5,"Устраивает полностью работа с ППР , отчетность на уровне , азс много , сервисы на уровне у них .Водители под присмотром вообщем . Молодцы ."
27,yell,30-06-2023,koh.st,5,"Компания отличная!
Все менеджеры оперативные
Проблем в работе еще не возникало
Много заправок и еще есть возможность по карте приобретать сопутствующие товары"
28,yell,27-06-2023,txvjirzz,5,"Совсем недавно заключили договор с ППР.
Очень разнообразный личный кабинет, удобно.
В работе пока все только радует. 
Благодарю!"
29,yell,21-06-2023,Ольга,5,С компанией ППР заключили договор по рекомендации знакомых. Нашей целью было в первую очередь навести порядок на стороне бухгалтерии. работаем с компанией по ЭДО документы предоставляются в срок и в личном кабинете можно сделать отчёты для сверки. цель нашего сотрудничества полностью удовлетворена. ...Показать полностью
30,yell,19-06-2023,Lavey.mark,5,"Отличный сервис. удобно отслеживать и оплачивать штрафы в личном кабинете. очень выручает возможность подключения отсрочки, всегда можем знать, что водители смогу заправиться на АЗС."
31,yell,16-06-2023,Zakiari,5,"Отличная Компания, работать одно удовольствие, быстрые зачисления средств, широкий перечень услуг, удобный личный кабинет. Очень отзывчивые и оперативные сотрудники, отдельно хотелось бы отметить Ольгу Лихачеву - очень компетентный сотрудник, готова оперативно помочь с решением любого вопроса. 
Реко...Показать полностью"
32,yell,15-06-2023,Роман Владыкин,1,"Не связывайтесь, закинули в минус на 1к за инфо услуги какие то, при этом карту заблокировал уже . Кароч развод. Работаю с другими поставщиками все хорошо"
33,yell,15-06-2023,roma.bujanov,5,"Работать начали недавно, в начале было недопонимание, но наш менеджер Ольга все объяснила, показала. Очень удобно заправляться через приложение, буду рекомендовать друзьям"
34,yell,13-06-2023,Руслан Волков,5,"С компанией ППР работаем недавно, заманила широкая сетка обслуживания по картам ППР.  ЭДО очень упрощает работу бухгалтера.
Надеюсь наше сотрудничество будет долгим, спасибо!"
35,yell,25-05-2023,Айказ Карамян,5,"Недавно начали сотрудничать с ППР.
Очень удобно и со скидкой заправляемся в АЗС, их в Москве и области огромное количество. 
Недавно приобрели автомобильные шины по очень хорошей цене. 
Оформление, оплата и доставка организованно на высоком уровне, с учетом всех  наших условий. 
Отдельная благодарно...Показать полностью"
36,yell,22-05-2023,yulia.sobalkova,5,"Одна из самых удобных и надежных компаний. Никаких сложностей в процессе работы никогда не возникает. Индивидуальный подход к каждому клиенту. Очень вежливые и грамотные сотрудники, знающие и любящие свое дело."
37,yell,18-05-2023,Вероника ❤️Юрий,5,"Недавно начали сотрудничать с ППР, отличное обслуживание, удобный лк и широкий выбор АЗС. 
Мэнеджеру Ольге отдельное спасибо за помощь и оперативность . 
Единственное что хотелось это ускорить  процесс оплаты от третьего лица ."
38,yell,16-05-2023,Володя Матвеев,5,"ППР молодцы, сотрудники всегда на связи.
Наш личный менеджер Алина всегда поможет и подскажет, что и как.
Удобно быстро. Еще и скидочки на топливо.
И заправок по всей россии.
Молодцы так держать."
39,yell,16-05-2023,zkzakp,5,"Клиентоориентированность у компании на должном уровне. В работе все устраивает. Заправляемся с отсрочкой платежа, подключили без лишних заморочек. Отдельное спасибо Ольге Лихачевой за помощь!"
40,yell,15-05-2023,tatiyana93,5,"Хорошая компания. Заключили второй договор с ними , рассмотрели отсрочку на новую компанию , менеджер всегда помогает при любых вопросах , рекомендуем ."
41,yell,03-05-2023,yuliya.yashchenko.99,5,"Компания предоставляет отсрочку, очень помогает для безперерывной работы,  удобный личный кабинет. Спасибо"
42,yell,02-05-2023,Юлия Галицкая,5,"От компании положительные эмоции все оперативно , пока всем довольны"
43,yell,28-04-2023,Павел Афонин,5,"Пользуемся компанией уже более 3-х лет. 
Никаких нареканий, одни плюсы. 
Была небольшая проблема, не успел о ней сообщить, менеджер Екатерина сама написала и спросила: ""Всё ли хорошо в работе?"".
В итоге всё решили за 5 минут. 
Спасибо за Вашу работу и лично менеджеру и компании."
44,yell,28-03-2023,povorova9988,5,"Пользуюсь компанией 1,5 года. Хороший интерфейс личного кабинета , доброжелательный персонал . Пока всё устраивает ."
45,yell,15-02-2023,artem_konovalov_86,5,"Пользуемся картами этой компании, полностью устраивает, сеть широкая,  заправляться из машины очень удобно.
Сотрудники 24/7 на связи, помогают со всеми вопросами. Рекомендую."
46,yell,15-02-2023,Регина Гиниятулина,5,Отличная компания! Сотрудники все вежливые.Работать с ППР очень удобно и выгодно!
47,yell,14-02-2023,Мишаня Четвертков,5,"Не первый год пользуемся Вашими услугами, всё превосходно, широкая сеть АЗС принимает платежи, успехов и процветания!!!"
48,yell,14-02-2023,Srl1987,5,"Лучшие топливные карты, возможнлсть заправляться на такой огромной сети азс это здорово! Спасибо что вы есть!!!"
49,yell,14-02-2023,elena.kuptsova92,5,"Отличная компания! Работаем с 2019 года и ни разу не было нареканий и замечаний. Все отлично, удобно и оперативно!!!! Сотрудники вежливые, знают свое дело и оперативно решают все возникающие вопросы) Отдельное спасибо нашему менеджеру Дарье!))))"
50,yell,10-02-2023,Labservice,5,"Работаем с компанией ППР с 2020г. 
Есть три действующих компании.
Компания отличная, пользуемся также их дополнительными услугами
Удобный Личный Кабинет, можно контролировать штрафы ГИБДД, контролировать транзакции совершенные по топливным картам.
Также удобно, что есть Персональный менеджер - Екате...Показать полностью"
51,yell,08-02-2023,Таша Марьина,5,"Отличная компания! Сотрудничаем уже несколько лет и этим очень довольны. Особая благодарность личному менеджеру Екатерине Баландиной, все вопросы всегда решаются быстро и качественно! С благодарностью ООО «ТК Форвард» г. Рязань."
52,yell,02-02-2023,Rogacheva-1983,5,"Отличная компания, вежливые менеджеры, отдельная благодарность Дарье за качественную коммуникацию. Спасибо что вы есть. Успехов вам и процветания"
53,yell,02-02-2023,Alihan Alihan,5,"Сотрудничаем с компанией на протяжение нескольких лет, работая над проектами в разных регионах мы взаимодействуем с ППР и качество обслуживания, скорость взаимодействия, обратная связь от клиентской службы, все на высшем уровне! С благодарностью ОП ООО «ИТС» в г. Сочи"
54,yell,27-01-2023,wix82,5,"Отличная компания! Только начали сотрудничество , но очень надеюсь на долгую и продуктивную работу. Хочу отметить Ольгу Лихачеву, грамотный сотрудник. Все рассказала и показала как и что делать! Рекомендую всем!"
55,yell,26-01-2023,mikryukovaia,5,"Отличная компания! Сотрудничаем с ними уже шесть лет. Большой спектр услуг, удобный личный кабинет, поддержка 24/7. Очень нравится персональный менеджер - Анастасия Иванушкина: оперативная, приятная в работе и общении. Желаем процветания и надеемся на дальнейшее плодотворное сотрудничество!"
56,yell,25-01-2023,Марк ,5,"ППР - отличная компания! Предлагают огромное количество сервисов для автопарков и клиентоориентированность на высшем уровне, еще очень нравится удобный личный кабинет и чат-бот с круглосуточной поддержкой. Все время предлагают что-то новое и не стоят на месте. Спасибо за работу. Рекомендуем!"
57,yell,21-07-2022,dubenko.em,5,"Работаем с ППР уже несколько лет -Работаем с ППР уже несколько лет - прекрасный коллектив, идущий уверенно вперед, который за последний год объединил под своей крышей все необходимые нашей компании сервисы, за что очень Вам благодарны!!! Двигаемся вперед и вверх и вместе!!! прекрасный коллектив, иду...Показать полностью"
58,yell,10-12-2021,olgasergeevnanikolaeva,5,"Работаем с ППР с октября. Очень довольны! Нравится, что платежи зачисляются максимум за полтора часа, что Личный кабинет удобный. Спасибо нашему персональному менеджеру Олесе Третьяковой за грамотную поддержку в любой ситуации. И, особенно, за то, что предложила подключить отсрочку платежа. Оказывае...Показать полностью"
59,yell,06-12-2021,victoriamatveevaa,5,"Хочу оставить положительный отзыв о сотрудничестве с компанией ППР. Работаем уже почти год, удобный личный кабинет с большим количеством сервисов, мы для себя подключили штрафы - очень удобно их оплачивать. Большой плюс, что у ППР самая большая сеть по России, почти везде можно заправиться по карте....Показать полностью"
60,yell,03-12-2021,Елена Соловьёва,5,"С компанией ППР работаем несколько лет!!! Радуем то, что можно практически везде заправиться, очень удобный личный кабинет. Если возникают вопросы, персональный менеджер всегда быстро находит решения."
61,yell,30-11-2021,dentam,5,"Персональный менеджер помог освоить личный кабинет, рассказала о всех преимуществах. Теперь есть возможность отследить не только электронные документы, но и штрафы. Надеюсь на дальнейшее сотрудничество!"
62,yell,30-11-2021,Ангелина,5,"Широкая сеть АЗС и так же компания предоставляет отсрочку, что является огромным плюсом для бесперебойной работы"
63,yell,30-11-2021,pavrybakow,5,"Выражаем благодарность всей компании ППР и нашему менеджеру Марии.
Порядочная организация с выбором по сетям.
Рекомендуем к сотрудничеству!
5 балов из 5!
Краснодар."
